Company Name,Category,"(Utilities Only) 
Percentage generation fossil fuels","(Utilities Only) 
Investment in new fossil fuel infrastructure","(Utilities Only) 
Percentage revenue derived from fossil fuels"
A & G Coal Corp,Coal Mining,,,
A J Taft Coal Co,Coal Mining,,,
A&G Coal,Coal Mining,,,
A&G Coal Co,Coal Mining,,,
A&M Mining,Coal Mining,,,
AA&W Coals,Coal Mining,,,
Acme Coal,Coal Mining,,,
Addington Coal,Coal Mining,,,
Addington Enterprises,Coal Mining,,,
Adena Minerals,Coal Mining,,,
Advanced Clean Coal Tech,Coal Mining,,,
Advanced Coal Tech,Coal Mining,,,
Advanced Emissions Solutions,Coal Mining,,,
AEI Holdings,Coal Mining,,,
AEI Industries Inc,Coal Mining,,,
AEI Resources,Coal Mining,,,
Airco Coals,Coal Mining,,,
AJ Taft Coal,Coal Mining,,,
AJG Coal,Coal Mining,,,
Akers Magnatite,Coal Mining,,,
Al Coal Association EnPAC,Coal Mining,,,
Al Coal Co,Coal Mining,,,
Al Coal Cooperative,Coal Mining,,,
Al Perry Enterprises,Coal Mining,,,
Alabama Coal,Coal Mining,,,
Alabama Coal Association,Coal Mining,,,
Alabama Coal Cooperative,Coal Mining,,,
Alabama Coal Institute,Coal Mining,,,
Alden Resources,Coal Mining,,,
Aliance Coal,Coal Mining,,,
Allegany Coal & Land Co,Coal Mining,,,
Alley-Cassetty Coal,Coal Mining,,,
Alliance Coal,Coal Mining,,,
Alliance Contractors,Coal Mining,,,
Alliance Holdings Gp,Coal Mining,,,
Alliance Management Holdings,Coal Mining,,,
Alliance Resource Management,Coal Mining,,,
Alliance Resource Partners,Coal Mining,,,
Alma Land Co,Coal Mining,,,
Aloe Coal,Coal Mining,,,
Aloe Holding,Coal Mining,,,
Aloe Holding Co,Coal Mining,,,
Alpha Coal,Coal Mining,,,
Alpha Coal Sales Co,Coal Mining,,,
Alpha Coal West,Coal Mining,,,
Alpha Natural Resources,Coal Mining,,,
Alpine Coal,Coal Mining,,,
Alton Coal,Coal Mining,,,
Alton Coal Development,Coal Mining,,,
AM Coal,Coal Mining,,,
Amax Coal Co,Coal Mining,,,
Amax PAC,Coal Mining,,,
Ambre Energy North America,Coal Mining,,,
Ambrose Branch Coal,Coal Mining,,,
Ambrose Branch Coal Co Inc,Coal Mining,,,
America Coal Co,Coal Mining,,,
Americal Coal,Coal Mining,,,
Americal Coal Co,Coal Mining,,,
American Charcoal Co,Coal Mining,,,
American Coal,Coal Mining,,,
American Coal (Galatia),Coal Mining,,,
American Coal & Mineral,Coal Mining,,,
American Coal Co,Coal Mining,,,
American Coal Co,Coal Mining,,,
American Coal Co-New Future,Coal Mining,,,
American Coal Council,Coal Mining,,,
American Coal Sales,Coal Mining,,,
American Coal West PAC,Coal Mining,,,
American Coalition For Clean Coal Electricity,Coal Mining,,,
American Coke & Coal Chemical,Coal Mining,,,
American Coke & Coal Chemicals Institute,Coal Mining,,,
American Energy Corp,Coal Mining,,,
American Metals & Coal International,Coal Mining,,,
American Natural Resources Coal PAC (ANR),Coal Mining,,,
American Resources,Coal Mining,,,
American Resources Inc Mr Steven Chancellor,Coal Mining,,,
Americans For Balanced Energy Choices,Coal Mining,,,
Americans For Coal Jobs,Coal Mining,,,
Amerikohl Mining,Coal Mining,,,
Amherst Industries,Coal Mining,,,
Amusement Music Operators Association,Coal Mining,,,
Amvest Coal Sales,Coal Mining,,,
Amvest Corp,Coal Mining,,,
Anch Coal,Coal Mining,,,
Anco Mining,Coal Mining,,,
Anker Energy,Coal Mining,,,
Anker Energy Corp,Coal Mining,,,
ANR / PAC,Coal Mining,,,
ANR Coal,Coal Mining,,,
ANR PAC,Coal Mining,,,
Antelope Coal,Coal Mining,,,
Anthracite Coal,Coal Mining,,,
Apex Coal,Coal Mining,,,
Apex Energy,Coal Mining,,,
Apogee Coal Co,Coal Mining,,,
Appalachian Coal Services,Coal Mining,,,
Appalachian Fuels,Coal Mining,,,
Appalachian Fuels LLC,Coal Mining,,,
Appolo Fuels Inc,Coal Mining,,,
Arch PAC,Coal Mining,,,
Arclar Co,Coal Mining,,,
Arclar Coal Co,Coal Mining,,,
Arclar LLC,Coal Mining,,,
Arclare Coal,Coal Mining,,,
Ark Land Co,Coal Mining,,,
Armstrong Coal,Coal Mining,,,
Armstrong Coal Co,Coal Mining,,,
Armstrong Coal PAC,Coal Mining,,,
ARQ Coal,Coal Mining,,,
Ashland West Virginia PAC,Coal Mining,,,
Asian-American Coalition For Education,Coal Mining,,,
Association of Bituminous Contractors,Coal Mining,,,
At Massey Coal,Coal Mining,,,
Atoka Bryan & Coal Counties,Coal Mining,,,
B Williams Resources,Coal Mining,,,
B&N Coal,Coal Mining,,,
Back Bay Coal Management LLC,Coal Mining,,,
Barrick Coal,Coal Mining,,,
Barrows Coal,Coal Mining,,,
Baughan Coal Agp,Coal Mining,,,
Baystar Coal,Coal Mining,,,
Baystar Coal Co,Coal Mining,,,
Beach Coal Co,Coal Mining,,,
Beach Fork Processing,Coal Mining,,,
Beach Fork Processing Plant,Coal Mining,,,
Beaver Coal,Coal Mining,,,
Beaver Coal Co,Coal Mining,,,
Bedford Coal,Coal Mining,,,
Beech Fork Processing,Coal Mining,,,
Beechfork Processing,Coal Mining,,,
Bell County Coal,Coal Mining,,,
Beluga Mining Co,Coal Mining,,,
Ben Franklin Coal,Coal Mining,,,
Ben Franklin Coal Co,Coal Mining,,,
Bennoc Inc,Coal Mining,,,
Berkeley Energy,Coal Mining,,,
Berns Equipment Co,Coal Mining,,,
Berwind Natural Coal,Coal Mining,,,
Best Coal,Coal Mining,,,
Best Coal Inc,Coal Mining,,,
Bhp Billiton Marketing Asia,Coal Mining,,,
Bhp Coal Nm,Coal Mining,,,
Bhp Minerals,Coal Mining,,,
Bhp Minerals PAC,Coal Mining,,,
Big Ridge Inc,Coal Mining,,,
Birmingham Coal & Coke,Coal Mining,,,
Birmingham Coal & Coke Co,Coal Mining,,,
Bituminous Coal Operators Association,Coal Mining,,,
Bizzack Inc,Coal Mining,,,
Bjm Coal,Coal Mining,,,
Black Beauty Coal,Coal Mining,,,
Black Beauty Coal Co,Coal Mining,,,
Black Butte Coal,Coal Mining,,,
Black Diamond Coal,Coal Mining,,,
Black Rock Coal,Coal Mining,,,
Blackbeauty Coal Co,Coal Mining,,,
Blackhawk Coal Sales LLC,Coal Mining,,,
Blackrock Coal,Coal Mining,,,
Blaschak Coal,Coal Mining,,,
