company,individual,role,start_date,end_date,is_current,is_leadership,littlesis_person_id,littlesis_company_id,company_matched_name
Alliance Coal,George Ellis,President,,,True,True,109401,109412,Pennsylvania Coal Alliance
Alliance Management Holdings,Joe Craft,Founder,,,,True,74111,92890,Alliance Management Holdings
Alliance Resource Partners,Brian L. Cantrell,Senior VP and Chief Financial Officer,,,True,True,331417,74466,"Alliance Resource Partners, LP"
Alliance Resource Partners,Joe Craft,President,,,True,True,74111,74466,"Alliance Resource Partners, LP"
Alpha Natural Resources,Deborah M Fretz,Board Member,2012-00-00,,True,True,68014,926,"Alpha Natural Resources, Inc."
Alpha Natural Resources,Richard A Axthelm,"VP, communications and government affairs",,,False,True,428026,926,"Alpha Natural Resources, Inc."
Alpha Natural Resources,Joe Richards III,Board Member,2005-03-01,,True,True,209788,926,"Alpha Natural Resources, Inc."
Alpha Natural Resources,L Patrick Hassey,Board Member,2012-08-01,,True,True,5822,926,"Alpha Natural Resources, Inc."
Alpha Natural Resources,P Michael Griftos,Board Member,2005-12-01,,True,True,209785,926,"Alpha Natural Resources, Inc."
Alpha Natural Resources,Mike Castle,associate general counsel,,,,False,103176,926,"Alpha Natural Resources, Inc."
Alpha Natural Resources,E Linn Draper Jr,Director,2004-11-00,,True,True,8041,926,"Alpha Natural Resources, Inc."
Alpha Natural Resources,Kevin S Crutchfield,Executive Vice President,2004-11-00,2007-01-00,,True,12017,926,"Alpha Natural Resources, Inc."
Alpha Natural Resources,Kevin S Crutchfield,President,2007-01-00,,True,True,12017,926,"Alpha Natural Resources, Inc."
Alpha Natural Resources,Gary W Banbury,Vice President-Administration,2008-11-00,,True,True,64493,926,"Alpha Natural Resources, Inc."
Alpha Natural Resources,Philip J Cavatoni,Tr & Exec VP-Fin & Strategy,2009-02-00,,True,True,64492,926,"Alpha Natural Resources, Inc."
Alpha Natural Resources,Ted G Wood,Director,2006-00-00,,True,True,11286,926,"Alpha Natural Resources, Inc."
Alpha Natural Resources,Kevin S Crutchfield,Director,2007-00-00,,True,True,12017,926,"Alpha Natural Resources, Inc."
Alpha Natural Resources,John S Brinzo,Director,2006-00-00,,True,True,5637,926,"Alpha Natural Resources, Inc."
Alpha Natural Resources,Hermann Buerger,Director,2008-00-00,,True,True,12013,926,"Alpha Natural Resources, Inc."
Alpha Natural Resources,Hans J Mende,Director,,,False,True,12022,926,"Alpha Natural Resources, Inc."
Alpha Natural Resources,Mary Ellen Bowers,Director,2007-00-00,,True,True,12016,926,"Alpha Natural Resources, Inc."
Alpha Natural Resources,Randy L McMillion,Vice President,,,True,True,12021,926,"Alpha Natural Resources, Inc."
Alpha Natural Resources,Eddie W Neely,Vice President,,,True,True,12020,926,"Alpha Natural Resources, Inc."
Alpha Natural Resources,Eddie W Neely,Controller,,,True,False,12020,926,"Alpha Natural Resources, Inc."
Alpha Natural Resources,Michael J Quillen,Chief Executive Officer,,,True,True,11048,926,"Alpha Natural Resources, Inc."
Alpha Natural Resources,Michael J Quillen,Director,,,True,True,11048,926,"Alpha Natural Resources, Inc."
Alpha Natural Resources,Vaughn R Groves,Secretary,,,True,False,12019,926,"Alpha Natural Resources, Inc."
Alpha Natural Resources,Vaughn R Groves,Vice President (GC),,,True,True,12019,926,"Alpha Natural Resources, Inc."
Alpha Natural Resources,Joachim V Porco,Vice President,,,True,True,12018,926,"Alpha Natural Resources, Inc."
Alpha Natural Resources,Glenn A Eisenberg,Director,,,True,True,5690,926,"Alpha Natural Resources, Inc."
Alpha Natural Resources,David C Stuebe,CFO,,,True,False,12015,926,"Alpha Natural Resources, Inc."
Alpha Natural Resources,David C Stuebe,Vice President,,,True,True,12015,926,"Alpha Natural Resources, Inc."
Alpha Natural Resources,David C Stuebe,Treasurer,,,True,False,12015,926,"Alpha Natural Resources, Inc."
Alpha Natural Resources,John W Fox Jr,Director,,,True,True,12014,926,"Alpha Natural Resources, Inc."
Alpha Natural Resources,William J Crowley Jr,Board Member,2004-12-01,,True,True,209259,90036,"Alpha Natural Resources, LLC"
Alpha Natural Resources,Kevin S Crutchfield,Executive Vice President,2003-03-00,,,True,12017,90036,"Alpha Natural Resources, LLC"
American Coal,Stephen L Miller,President & CEO,1994-00-00,2012-00-00,False,True,230464,44878,American Coalition for Clean Coal Electricity
American Coal,Michael J Ward,Board Member,,,True,True,4482,44878,American Coalition for Clean Coal Electricity
American Coal,Mike Duncan,President & CEO,2012-09-10,,True,True,68746,44878,American Coalition for Clean Coal Electricity
American Coal,Edwin Rosenthal Coello,,,,True,False,360531,360535,South American Coal and Mineral
American Coal,Jaime Rosenthal Oliva,,,,,False,359614,360535,South American Coal and Mineral
American Coal,Yani Rosenthal Hidalgo,,,,,False,359617,360535,South American Coal and Mineral
American Coal,Robert Bloom,Board member,,,True,True,40794,42783,American Coke and Coal Chemicals Institute
American Coal,J D Crane,Board member,,,True,True,40793,42783,American Coke and Coal Chemicals Institute
American Coal & Mineral,Edwin Rosenthal Coello,,,,True,False,360531,360535,South American Coal and Mineral
American Coal & Mineral,Jaime Rosenthal Oliva,,,,,False,359614,360535,South American Coal and Mineral
American Coal & Mineral,Yani Rosenthal Hidalgo,,,,,False,359617,360535,South American Coal and Mineral
American Coalition For Clean Coal Electricity,Stephen L Miller,President & CEO,1994-00-00,2012-00-00,False,True,230464,44878,American Coalition for Clean Coal Electricity
American Coalition For Clean Coal Electricity,Michael J Ward,Board Member,,,True,True,4482,44878,American Coalition for Clean Coal Electricity
American Coalition For Clean Coal Electricity,Mike Duncan,President & CEO,2012-09-10,,True,True,68746,44878,American Coalition for Clean Coal Electricity
American Coke & Coal Chemicals Institute,Robert Bloom,Board member,,,True,True,40794,42783,American Coke and Coal Chemicals Institute
American Coke & Coal Chemicals Institute,J D Crane,Board member,,,True,True,40793,42783,American Coke and Coal Chemicals Institute
American Resources,Greg Osadetz,Manager international finance,1988-10-00,1995-03-00,,True,261390,38390,Gulf Canada Resources Limited
American Resources,David Cornhill,,,,False,False,104030,38390,Gulf Canada Resources Limited
American Resources,S Barry Jackson,Director,2000-00-00,2001-00-00,,True,78468,38390,Gulf Canada Resources Limited
American Resources,Albert LeRoy Ellsworth,Founder,1906-10-00,,,True,87256,38390,Gulf Canada Resources Limited
American Resources,Paula White,Director of Finance,,,,True,336538,336533,American Water Resources
American Resources,Stacy Owens,Vice President of Operations,,,,True,336537,336533,American Water Resources
American Resources,Matthew Lindner,"Vice President, Business Innovation",,,,True,336536,336533,American Water Resources
American Resources,Michael Champion,Vice President,,,True,True,336535,336533,American Water Resources
American Resources,Eric Palm,President,,,True,True,336534,336533,American Water Resources
American Resources,Alan Grant Quasha,CEO,1988-00-00,1998-00-00,,True,112401,112403,North American Resources Limited
American Resources,Mike Carey,government affairs VP,,,True,True,413525,413527,American Consolidated Natural Resources
Americans For Balanced Energy Choices,Stephen L Miller,President & CEO,1994-00-00,2012-00-00,False,True,230464,44878,American Coalition for Clean Coal Electricity
Americans For Balanced Energy Choices,Michael J Ward,Board Member,,,True,True,4482,44878,American Coalition for Clean Coal Electricity
Americans For Balanced Energy Choices,Mike Duncan,President & CEO,2012-09-10,,True,True,68746,44878,American Coalition for Clean Coal Electricity
Apex Energy,Steve Vavrik,CCO,,,True,False,254020,254016,Apex Clean Energy
Apex Energy,Jim Trousdale,CFO,,,True,False,254019,254016,Apex Clean Energy
Apex Energy,Mark Goodwin,President and CEO,,,True,True,254018,254016,Apex Clean Energy
Apex Energy,Sandy Reisky,Chairman and CSO,,,True,True,254017,254016,Apex Clean Energy
Apex Energy,Gregory A Beard,,,,,False,172546,107306,Apex Energy
Apex Energy,Neil Bush,Founder,1988-00-00,1988-00-00,,True,58061,107306,Apex Energy
Apex Energy,Thomas M. Maher,CEO,,,True,True,428108,428107,Apex International Energy
