company,individual,role,start_date,end_date,is_current,is_leadership,littlesis_person_id,littlesis_company_id,company_matched_name
Alliance Resource Partners,Brian L. Cantrell,Senior VP and Chief Financial Officer,,,True,True,331417,74466,"Alliance Resource Partners, LP"
Alliance Resource Partners,Joe Craft,President,,,True,True,74111,74466,"Alliance Resource Partners, LP"
Alpha Natural Resources,William J Crowley Jr,Board Member,2004-12-01,,True,True,209259,90036,"Alpha Natural Resources, LLC"
Alpha Natural Resources,Kevin S Crutchfield,Executive Vice President,2003-03-00,,,True,12017,90036,"Alpha Natural Resources, LLC"
Coal Resources,Ian Plimer,Director,2012-00-00,,True,True,203704,359325,Queensland Coal Investment Holdings Ltd
Coal Services,Jonathan Vandervoort,Company Secretary,2001-04-00,2008-10-00,False,False,367079,364889,Port Waratah Coal Services Limited
Coal Services,Jonathan Vandervoort,Chief Financial Officer,2001-04-00,2008-10-00,False,True,367079,364889,Port Waratah Coal Services Limited
Coal Services,Eileen Doyle,Chairman,1998-12-00,2009-10-00,False,True,378319,364889,Port Waratah Coal Services Limited
International Industries,Herbert K Parker,"EVP, Chief Financial Officer",2008-00-00,2017-00-00,False,True,8414,598,"Harman International Industries, Incorporated"
International Industries,Brian F Carroll,Director,2007-00-00,,False,True,8419,598,"Harman International Industries, Incorporated"
International Industries,Ralph Santana,Chief Marketing Officer,2013-06-00,,True,True,190499,598,"Harman International Industries, Incorporated"
International Industries,John W Diercksen,,2013-06-00,,True,False,59703,598,"Harman International Industries, Incorporated"
L&L Energy,Larry Smyers,Petroleum Geologist and Geophysicist,,,True,False,114358,90449,D&L Energy Group
L&L Energy,David I Rice,Production Manager,,,True,True,114356,90449,D&L Energy Group
L&L Energy,Kartha L James,Vice President of Corporate Development,,,True,True,114352,90449,D&L Energy Group
Ohio Coal,Mike Carey,President,1999-00-00,2012-00-00,False,True,413525,413526,Ohio Coal Association
Ohio Coal,Mike Carey,board chair,2012-00-00,,True,True,413525,413526,Ohio Coal Association
Orion Inc,James D Leslie,,2013-05-00,,False,False,123994,109282,"Orion Energy Systems, Inc."
Appalachian Power ^,Brad Hall,president of external affairs,,,,True,422465,211426,Appalachian Power Company
West Oil,Anne Blankenship,Executive director,,,True,True,328838,85658,West Virginia Oil and Natural Gas Association
West Oil,Kelly Moss,director,,,True,True,146539,85658,West Virginia Oil and Natural Gas Association
Alliant Energy,William D Harvey,CEO,,,False,True,8543,610,Alliant Energy
Entergy,Alfred Galindo,Lighting Sales Manager,,,True,True,325652,325434,Entergy Louisiana
Entergy,Daryn Bovard,Public Affairs Executive,2012-00-00,,True,True,325578,325434,Entergy Louisiana
Entergy,Paul Girard,"Director, Resource Planning and Market Operations",,,True,True,325576,325434,Entergy Louisiana
Entergy,Eduardo Jimenez,"Director, Business & Economic Development",,,True,True,325224,325434,Entergy Louisiana
Sempra Energy,Jeffrey W. Martin,President & CEO,,,True,True,282455,233,Sempra
Sempra Energy,Cynthia J Warner,,,,True,False,100413,233,Sempra
Sempra Energy,Michael N Mears,,,,True,False,85867,233,Sempra
Sempra Energy,H R McMaster,Advisor,,,True,False,112407,233,Sempra
Centaurus Energy,John D. Arnold,founder,,,,True,396890,66937,Centaurus Energy
Antero Resources,Mark D Mauz,"Vice President, Gathering",,2015-00-00,False,True,302464,98667,Antero Resources
Antero Resources,James R Levy,Independent Director,,2015-00-00,False,True,94097,98667,Antero Resources
Antero Resources,Jonathan L Grannis,"Co-Head, Geology Department",,2015-00-00,False,True,295318,98667,Antero Resources
Breitburn Energy,Gregory Brown,Executive,,,True,True,243349,67353,BreitBurn Energy Company
Breitburn Energy,Howard I Hoffen,,,,True,False,65149,67353,BreitBurn Energy Company
Burlington Resources,Bobby S Shackouls,Chairman,1997-00-00,2006-00-00,,True,1095,66830,Burlington Resources Inc.
Burlington Resources,Bobby S Shackouls,COO,1993-00-00,1994-00-00,,False,1095,210984,Burlington Resources Oil & Gas Company LP
Burlington Resources,Jean J. Antonides,,,,False,False,195050,210984,Burlington Resources Oil & Gas Company LP
Burlington Resources,John A Williams,Senior Vice President of Exploration,1998-07-00,2000-12-00,,True,210985,210984,Burlington Resources Oil & Gas Company LP
Cimarex Energy,Richard S Dinkins,Vice President / Head,2003-00-00,,False,True,123831,100215,Cimarex Energy Co
Cimarex Energy,KATHLEEN A. HOGENSON,,,,True,False,381975,100215,Cimarex Energy Co
Cimarex Energy,Krista L Johnson,Vice President / Head,2014-00-00,,False,True,321591,100215,Cimarex Energy Co
Cimarex Energy,CHRIS CLASON,,,,True,False,385724,100215,Cimarex Energy Co
Continental Resources,Harold G Hamm,,,,True,False,12790,381833,Continental Resources
Continental Resources,LON MCCAIN,,,,True,False,383840,381833,Continental Resources
Encore Acquisition,Ted Collins Jr,Chairman of the Governance Committee ,,,True,True,123587,49427,Encore Acquisition Company
Encore Acquisition,I Jon Brumley,Chairman of the Board,1998-00-00,,True,True,49428,49427,Encore Acquisition Company
Graham Corp,Helen H Berkeley,director,1998-00-00,,True,True,155690,52195,Graham Corporation
Hunt Oil,James Oberwetter,SVP,,,False,True,102184,100242,Hunt Oil Company
Maralo LLC,Mary Ralph Lowe,CEO,1973-00-00,,True,True,123039,210760,Maralo LLC
Nexen Inc,Kim McKenzie,CIO,2007-00-00,,,False,302874,79106,Nexen Inc
Nexen Inc,Changbo Zheng,Assistant Pres,,2015-00-00,,False,314569,79106,Nexen Inc
Petco Petroleum Corp,Jay Bergman,Founder,,,,True,188459,195915,Petco Petroleum Corp
Southwestern Energy,DENIS J. WALSH,,,,True,False,385317,283841,Southwestern Energy Co
Union Pacific Resources Group,V Richard Eales,Executive Vice President ,1995-00-00,1999-00-00,False,True,100384,38425,Union Pacific Resources Group Inc.
Union Pacific Resources Group,V Richard Eales,Executive Vice President,,,False,True,100384,38425,Union Pacific Resources Group Inc.
Lp Gas,Bobby S Shackouls,COO,1993-00-00,1994-00-00,,False,1095,210984,Burlington Resources Oil & Gas Company LP
Lp Gas,Jean J. Antonides,,,,False,False,195050,210984,Burlington Resources Oil & Gas Company LP
